txn_id,user_id,amount,payment_method,failure_code,failure_stage,retry_count,timestamp,do_not_contact,customer_segment,days_overdue
txn_4012a39df7,user_5719f68d,1940.04,mandate,mandate_lapsed,subscription_failure,0,2026-08-12T00:55:31.308780,False,regular,
txn_463f35c9a2,user_d96af796,431.42,upi,invoice_unpaid,receivable_overdue,0,2026-08-27T11:55:31.308828,True,regular,78.0
txn_7d7eeb9fb5,user_e28dc910,1918.44,netbanking,bank_decline,payment_failure,0,2026-08-10T03:55:31.308847,False,regular,
txn_7541621b4f,user_af16ef66,1878.45,netbanking,bank_decline,payment_failure,0,2026-09-01T01:55:31.308862,False,regular,
txn_60cca01f5d,user_b8ae4b19,537.91,mandate,insufficient_funds,payment_failure,0,2026-08-18T00:55:31.308873,False,regular,
txn_6f939dc124,user_6e850b73,5023.45,netbanking,bank_decline,payment_failure,0,2026-08-16T21:55:31.308909,False,regular,
txn_4921dc0e47,user_9b38aeda,821.38,upi,insufficient_funds,payment_failure,0,2026-08-08T00:55:31.308928,False,regular,
txn_6ce2e65a17,user_4e7483b2,22921.01,netbanking,gateway_timeout,checkout_abandon,0,2026-08-12T06:55:31.308963,False,high_value,
txn_741b0c1b5e,user_3467ff8b,1473.54,mandate,mandate_lapsed,subscription_failure,0,2026-08-22T19:55:31.308983,False,regular,
txn_d9bc50d98a,user_6e3cd2e6,6773.24,mandate,insufficient_funds,subscription_failure,0,2026-08-11T02:55:31.308998,False,regular,
txn_f8aef64c58,user_9bf95c49,1844.67,netbanking,insufficient_funds,payment_failure,0,2026-08-28T07:55:31.309010,False,regular,
txn_31e99a3cdb,user_5c4fc699,13864.33,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-11T09:55:31.309022,False,high_value,55.0
txn_0c7697a298,user_88b58930,4173.31,card,insufficient_funds,payment_failure,0,2026-08-11T02:55:31.309034,False,regular,
txn_1e6a94642a,user_a3529722,4850.99,mandate,insufficient_funds,payment_failure,0,2026-08-22T08:55:31.309046,False,regular,
txn_2fbc1dffd1,user_f81c83fa,288.55,card,gateway_timeout,checkout_abandon,0,2026-08-13T10:55:31.309081,False,regular,
txn_fa11370795,user_c7cfd90b,1432.63,mandate,mandate_lapsed,subscription_failure,0,2026-09-03T04:55:31.309110,False,regular,
txn_ae54a26ae7,user_c006a183,46329.46,netbanking,bank_decline,payment_failure,0,2026-08-08T07:55:31.309141,False,high_value,
txn_409cb89466,user_37a1a3a4,48046.04,card,insufficient_funds,payment_failure,0,2026-08-15T17:55:31.309188,False,high_value,
txn_e0a7f0f773,user_64f9af5c,6491.84,upi,insufficient_funds,payment_failure,0,2026-09-02T20:55:31.309214,False,regular,
txn_f9b5dc595d,user_658f648d,738.86,upi,invoice_unpaid,receivable_overdue,0,2026-08-30T06:55:31.309232,False,regular,61.0
txn_7d734c9a1c,user_6b576a7b,7721.03,upi,bank_decline,payment_failure,0,2026-08-12T18:55:31.309245,False,regular,
txn_1180ab84c4,user_96aacc63,3720.59,mandate,insufficient_funds,subscription_failure,0,2026-08-27T20:55:31.309256,True,regular,
txn_1fe81e001d,user_365d3b59,255.09,card,bank_decline,payment_failure,0,2026-08-28T01:55:31.309266,False,regular,
txn_1af35f8d22,user_0740f7d2,5417.03,upi,invoice_unpaid,receivable_overdue,0,2026-08-17T23:55:31.309276,False,regular,74.0
txn_3f05a159ab,user_0bca09e2,934.74,mandate,bank_decline,payment_failure,0,2026-08-23T14:55:31.309288,False,regular,
txn_96d55a8a94,user_85a89aa1,5239.2,card,invoice_unpaid,receivable_overdue,0,2026-08-22T04:55:31.309298,False,regular,44.0
txn_a52cc3e7c6,user_7a1454cb,1292.42,upi,insufficient_funds,payment_failure,0,2026-08-26T13:55:31.309309,False,regular,
txn_507606cc4c,user_80973e5b,4491.54,card,invoice_unpaid,receivable_overdue,0,2026-08-14T10:55:31.309342,False,regular,2.0
txn_44586377ce,user_7d702a9c,28396.44,upi,invoice_unpaid,receivable_overdue,0,2026-08-07T15:55:31.309360,False,high_value,8.0
txn_faf719bf18,user_4f4b2cac,6323.01,netbanking,insufficient_funds,payment_failure,0,2026-08-21T05:55:31.309373,False,regular,
txn_dd3cc7ab4f,user_df8d23ab,1406.42,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-29T02:55:31.309383,False,regular,75.0
txn_9df74de4fe,user_1425e872,28024.64,upi,insufficient_funds,payment_failure,0,2026-09-02T11:55:31.309394,False,high_value,
txn_664a5274b9,user_f75ef5f0,2033.59,card,bank_decline,payment_failure,0,2026-08-04T09:55:31.309404,False,regular,
txn_8c9c011298,user_2cbfa23e,4751.64,netbanking,user_dropped,checkout_abandon,0,2026-08-05T19:55:31.309415,False,regular,
txn_0f5013f46f,user_285cf196,5438.18,mandate,mandate_lapsed,subscription_failure,0,2026-08-25T13:55:31.309425,False,regular,
txn_d623b1d135,user_9dedf7de,7986.94,mandate,mandate_lapsed,subscription_failure,0,2026-09-01T01:55:31.309456,False,regular,
txn_2a4da35885,user_29b9b927,735.57,upi,otp_timeout,checkout_abandon,0,2026-08-23T18:55:31.309473,False,regular,
txn_46b8ad7b74,user_ea5ee725,7899.42,card,invoice_unpaid,receivable_overdue,0,2026-08-13T10:55:31.309513,False,regular,39.0
txn_aadfd69f81,user_44b04fe2,7138.76,upi,issuer_timeout,payment_failure,0,2026-08-26T18:55:31.309566,False,regular,
txn_667119dcb4,user_904113ab,2258.07,mandate,mandate_lapsed,subscription_failure,0,2026-08-19T19:55:31.309579,False,regular,
txn_0a85ff2033,user_9e2c3203,2357.11,card,invoice_unpaid,receivable_overdue,0,2026-08-24T23:55:31.309594,False,regular,82.0
txn_67284a375a,user_f0b09a50,4574.07,card,bank_decline,payment_failure,0,2026-09-01T05:55:31.309617,False,regular,
txn_29b659fde7,user_1350779d,1354.13,upi,gateway_timeout,checkout_abandon,0,2026-09-02T18:55:31.309628,False,regular,
txn_5e5df11b21,user_3a459eac,23027.63,upi,invoice_unpaid,receivable_overdue,0,2026-08-14T00:55:31.309639,False,high_value,46.0
txn_383b3fb358,user_d9e282a8,1404.52,upi,invoice_unpaid,receivable_overdue,0,2026-08-07T22:55:31.309650,False,regular,23.0
txn_b5e24751bc,user_cb836f96,7459.36,upi,card_expired,payment_failure,0,2026-08-26T22:55:31.309668,False,regular,
txn_d9309439f1,user_afa7282e,1933.98,mandate,issuer_timeout,payment_failure,0,2026-08-23T18:55:31.309687,False,regular,
txn_6a6f3e6a15,user_22255b43,3307.03,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-08T01:55:31.309745,False,regular,36.0
txn_8f305a53f0,user_fc0b5857,2781.97,card,user_dropped,checkout_abandon,0,2026-08-31T19:55:31.309780,False,regular,
txn_11efbb2fac,user_abf82800,26251.24,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-21T08:55:31.309825,False,high_value,66.0
txn_1441080886,user_d79fea9a,26313.98,upi,invoice_unpaid,receivable_overdue,0,2026-08-23T14:55:31.309875,False,high_value,9.0
txn_45f9482e63,user_cf81380a,1171.08,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-18T18:55:31.309895,False,regular,86.0
txn_d8d4e84698,user_9aa0cbcd,25658.33,mandate,otp_timeout,checkout_abandon,0,2026-08-13T04:55:31.309907,False,high_value,
txn_611c11c2d3,user_c4abb744,202.17,mandate,mandate_lapsed,subscription_failure,0,2026-08-25T21:55:31.309919,False,regular,
txn_dfc0441d36,user_66f50e3a,3647.85,upi,user_dropped,checkout_abandon,0,2026-08-18T12:55:31.309932,False,regular,
txn_e47111b18a,user_7cbfa9ff,2412.53,netbanking,invoice_unpaid,receivable_overdue,0,2026-09-01T20:55:31.309956,False,regular,87.0
txn_f44b2abd40,user_4e41ea48,49324.33,card,invoice_unpaid,receivable_overdue,0,2026-08-20T14:55:31.309992,False,high_value,81.0
txn_93ef803e13,user_26bb8a02,1350.06,mandate,insufficient_funds,subscription_failure,0,2026-08-13T03:55:31.310029,False,regular,
txn_028742102e,user_b7775c67,1905.96,mandate,invoice_unpaid,receivable_overdue,0,2026-09-02T10:55:31.310058,False,regular,32.0
txn_481513ada5,user_1b98708f,4341.83,netbanking,insufficient_funds,payment_failure,0,2026-08-04T13:55:31.310073,False,regular,
txn_01b95eabc4,user_1f5850b0,4472.4,mandate,insufficient_funds,subscription_failure,0,2026-08-06T22:55:31.310084,False,regular,
txn_7f94bce5fa,user_2324384d,5172.76,mandate,otp_timeout,checkout_abandon,0,2026-08-14T20:55:31.310095,False,regular,
txn_030ff3546f,user_d4c0d1eb,2692.73,card,insufficient_funds,payment_failure,0,2026-08-30T23:55:31.310106,False,regular,
