txn_id,user_id,amount,payment_method,failure_code,failure_stage,retry_count,timestamp,do_not_contact,customer_segment,preferred_language,days_overdue
txn_c8ecc06d03,user_170fcf5a,597.76,netbanking,bank_decline,payment_failure,0,2026-08-31T11:09:00,False,regular,hinglish,
txn_fa3458929c,user_c11681c8,1924.7,netbanking,insufficient_funds,payment_failure,0,2026-08-27T14:11:00,False,regular,hinglish,
txn_31bdc07b75,user_1ad4ef18,1526.73,upi,user_dropped,checkout_abandon,0,2026-08-25T00:28:00,False,regular,en,
txn_15ad4bb359,user_2aed298e,1445.65,netbanking,issuer_timeout,payment_failure,0,2026-08-30T00:37:00,False,regular,hinglish,
txn_5caec78062,user_0b83d02b,626.24,card,card_expired,payment_failure,0,2026-08-25T22:59:00,False,regular,en,
txn_1b5befed5a,user_a97f84cb,2690.97,netbanking,insufficient_funds,payment_failure,0,2026-08-27T14:03:00,False,regular,hinglish,
txn_441ad91fbc,user_ab4345a9,3334.63,mandate,gateway_timeout,checkout_abandon,1,2026-08-23T10:39:00,False,regular,hinglish,
txn_e09b0fdb75,user_47995855,535.8,card,card_expired,payment_failure,0,2026-09-01T23:06:00,False,regular,en,
txn_4d082ee739,user_fdf6b825,2674.83,card,insufficient_funds,payment_failure,0,2026-08-28T08:02:00,False,regular,en,
txn_79df76b9c0,user_b5cd9b65,101929.56,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-31T02:02:00,False,high_value,en,3.6
txn_59e918292e,user_7909f7f4,430.64,card,card_expired,payment_failure,0,2026-08-31T02:20:00,False,regular,en,
txn_1b63d78458,user_b1e66967,1625.73,card,gateway_timeout,checkout_abandon,0,2026-08-26T12:49:00,False,regular,en,
txn_fdbb0e5f55,user_e30c4624,986.92,upi,otp_timeout,checkout_abandon,0,2026-08-23T08:17:00,False,regular,hinglish,
txn_7542a3adf8,user_01c2da7c,693.43,upi,issuer_timeout,payment_failure,1,2026-08-24T14:47:00,False,regular,en,
txn_164f389d21,user_a3f8e094,1967.13,upi,user_dropped,checkout_abandon,0,2026-09-02T14:40:00,False,regular,hinglish,
txn_92743f34d3,user_50af7983,1299.29,upi,gateway_timeout,checkout_abandon,0,2026-08-28T06:49:00,False,regular,hinglish,
txn_ab3d585cd7,user_17a3292a,2030.87,card,insufficient_funds,payment_failure,0,2026-08-28T15:18:00,False,regular,en,
txn_8157bd8c7e,user_656fee72,643.18,card,gateway_timeout,checkout_abandon,0,2026-08-22T22:40:00,False,regular,en,
txn_c2f086e92a,user_cae08457,482.06,card,insufficient_funds,payment_failure,0,2026-08-23T09:04:00,False,regular,hinglish,
txn_587c22baf4,user_ba5f8417,6029.71,card,bank_decline,payment_failure,0,2026-08-31T19:52:00,False,high_value,hinglish,
txn_aecf3e0a1d,user_4e1497ee,841.73,card,user_dropped,checkout_abandon,0,2026-08-26T07:44:00,False,regular,hinglish,
txn_6ad696b22c,user_15561be8,1204.33,upi,user_dropped,checkout_abandon,0,2026-08-26T04:50:00,False,regular,en,
txn_a8dd7a4326,user_4d027114,1097.73,card,bank_decline,payment_failure,1,2026-09-05T09:14:00,False,regular,hinglish,
txn_67d5883f31,user_1ad4ef18,727.2,upi,gateway_timeout,checkout_abandon,0,2026-09-02T17:59:00,False,regular,en,
txn_1b8947e7eb,user_14a0abb7,1102.21,mandate,mandate_lapsed,subscription_failure,0,2026-09-03T06:13:00,False,regular,hinglish,
txn_900ec724fa,user_9a0830ca,880.66,mandate,bank_decline,payment_failure,2,2026-08-27T00:00:00,False,regular,hinglish,
txn_afb816f325,user_c38a5e35,63410.19,upi,invoice_unpaid,receivable_overdue,0,2026-08-26T09:10:00,False,regular,hinglish,120
txn_594f0f80c9,user_00304bdd,7051.98,netbanking,insufficient_funds,payment_failure,0,2026-08-29T09:09:00,False,high_value,en,
txn_b512f88e25,user_0e019bb7,5851.0,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-23T20:44:00,False,regular,hinglish,33.0
txn_067ce4fae4,user_bba1050a,8150.47,card,otp_timeout,checkout_abandon,0,2026-08-25T02:31:00,False,high_value,hinglish,
txn_4a113fb68e,user_2f14eac4,771.74,upi,user_dropped,checkout_abandon,0,2026-08-27T19:33:00,False,regular,hinglish,
txn_a550ab1ff4,user_964f6750,1141.75,netbanking,insufficient_funds,payment_failure,0,2026-09-03T06:05:00,False,regular,hinglish,
txn_91fb27c177,user_1d356661,1741.59,mandate,insufficient_funds,payment_failure,0,2026-09-03T09:00:00,False,regular,hinglish,
txn_039afe95d7,user_1064810a,36987.22,upi,invoice_unpaid,receivable_overdue,0,2026-09-01T21:02:00,False,high_value,hinglish,28.3
txn_fbefe05ada,user_266c8220,16332.93,upi,user_dropped,checkout_abandon,1,2026-08-25T01:50:00,False,high_value,hinglish,
txn_020be2d283,user_76b59965,9102.61,card,otp_timeout,checkout_abandon,0,2026-09-04T00:55:00,False,high_value,hinglish,
txn_605d155709,user_07924daf,1524.28,card,card_expired,payment_failure,0,2026-08-25T12:38:00,False,regular,en,
txn_16e2b9df5c,user_49f4970e,1548.71,upi,issuer_timeout,payment_failure,0,2026-08-31T04:12:00,False,regular,en,
txn_3c180b1be5,user_182406ba,1764.78,card,insufficient_funds,payment_failure,0,2026-09-05T05:25:00,False,regular,hinglish,
txn_59fa37349f,user_b6cf3c18,1444.57,upi,issuer_timeout,payment_failure,0,2026-08-22T23:18:00,False,regular,en,
txn_b55b2f91d0,user_9b70cd54,3700.06,upi,insufficient_funds,payment_failure,1,2026-09-04T16:09:00,True,regular,en,
txn_4d8a63b102,user_16d41a97,726.96,card,insufficient_funds,payment_failure,0,2026-08-26T20:50:00,False,regular,en,
txn_87dc9fdcbc,user_c0d9d23a,3304.72,netbanking,bank_decline,payment_failure,0,2026-08-31T19:44:00,False,regular,hinglish,
txn_b7950975e9,user_29fea609,1195.52,upi,bank_decline,payment_failure,0,2026-09-04T11:12:00,False,regular,en,
txn_16b1ab6bbe,user_1759c24a,755.75,card,bank_decline,payment_failure,0,2026-08-23T18:20:00,False,regular,en,
txn_6753edcf6f,user_c0d0fcd5,1241.82,upi,insufficient_funds,payment_failure,0,2026-08-29T06:53:00,False,regular,hinglish,
txn_d2eec93303,user_ee76d592,1812.01,card,insufficient_funds,payment_failure,0,2026-09-01T21:30:00,False,regular,hinglish,
txn_d3c8ff98b6,user_f261ec0a,10113.52,netbanking,issuer_timeout,payment_failure,0,2026-08-30T09:09:00,False,high_value,hinglish,
txn_935bdf1b36,user_f77f01b9,629.79,upi,insufficient_funds,payment_failure,0,2026-09-04T16:40:00,False,regular,hinglish,
txn_a6e26c9abe,user_4d027114,4565.64,netbanking,user_dropped,checkout_abandon,0,2026-08-31T14:21:00,False,high_value,en,
txn_f50443b1bb,user_387cf7e6,4222.4,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-31T07:35:00,False,regular,hinglish,51.7
txn_2f0549882c,user_2aed298e,27677.2,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-27T09:33:00,False,regular,hinglish,3.1
txn_a660b9bdd9,user_6b4e51bc,1770.82,mandate,mandate_lapsed,subscription_failure,0,2026-08-24T13:01:00,False,regular,en,
txn_5692cec34c,user_667d8850,3204.81,card,issuer_timeout,payment_failure,0,2026-08-27T13:42:00,False,regular,en,
txn_1edc7a2428,user_cb0a520d,1047.07,upi,gateway_timeout,checkout_abandon,1,2026-08-25T04:56:00,False,regular,hinglish,
txn_e0e835e009,user_50af7983,480.93,upi,insufficient_funds,payment_failure,0,2026-09-01T03:54:00,False,regular,hinglish,
txn_4e9f83e11b,user_07938e9d,278.79,mandate,insufficient_funds,payment_failure,0,2026-08-31T03:22:00,False,regular,hinglish,
txn_e4e632b408,user_c38a5e35,846.92,netbanking,issuer_timeout,payment_failure,0,2026-08-27T10:37:00,False,regular,en,
txn_0a5646b8fe,user_c1f72194,24809.96,upi,invoice_unpaid,receivable_overdue,0,2026-08-23T23:40:00,False,regular,hinglish,4.4
txn_8c99a1f0f7,user_16d41a97,1608.58,upi,otp_timeout,checkout_abandon,0,2026-08-31T20:48:00,False,regular,en,
txn_0a5f20096e,user_740473d8,1040.45,netbanking,otp_timeout,checkout_abandon,0,2026-09-05T10:31:00,False,regular,hinglish,
txn_c6ef15b28a,user_3f7d32a4,16458.37,upi,invoice_unpaid,receivable_overdue,1,2026-08-24T09:38:00,False,regular,hinglish,40.7
txn_213e141da6,user_29fea609,2093.29,netbanking,bank_decline,payment_failure,0,2026-08-27T12:13:00,False,regular,hinglish,
txn_e833d5c921,user_71dcb5a9,3498.17,card,insufficient_funds,payment_failure,0,2026-08-24T06:17:00,False,regular,hinglish,
txn_abe75fbb85,user_8e5fc747,670.18,netbanking,bank_decline,payment_failure,0,2026-08-31T09:33:00,False,regular,hinglish,
txn_a31b2c4baa,user_c1f72194,479.4,card,bank_decline,payment_failure,0,2026-08-29T17:24:00,False,regular,en,
txn_450b499720,user_a565dae2,36608.72,mandate,mandate_lapsed,subscription_failure,0,2026-09-02T03:57:00,False,high_value,en,
txn_43733c7f87,user_d4b6b78b,1923.0,upi,insufficient_funds,payment_failure,0,2026-08-30T09:17:00,False,regular,hinglish,
txn_d34b63ef2a,user_7909f7f4,12079.29,mandate,otp_timeout,checkout_abandon,1,2026-09-04T13:07:00,False,high_value,hinglish,
txn_ccfc618f6e,user_dfdaefff,22695.19,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-24T10:31:00,True,regular,en,58.0
txn_4b44710475,user_70b4f6a2,477.67,mandate,bank_decline,payment_failure,1,2026-08-29T07:43:00,False,regular,en,
txn_bc2c0b444f,user_e93a700c,8219.93,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-24T19:58:00,False,regular,en,32.8
txn_4e9d54387e,user_055d331c,20399.23,card,user_dropped,checkout_abandon,0,2026-08-23T06:47:00,True,high_value,hinglish,
txn_b38b9660ff,user_531ae55b,1102.97,mandate,mandate_lapsed,subscription_failure,0,2026-08-27T21:54:00,False,regular,hinglish,
txn_ffa05a0acb,user_a97f84cb,2191.74,upi,bank_decline,payment_failure,0,2026-09-01T08:15:00,False,regular,hinglish,
txn_6e4675ead4,user_6692c617,19136.68,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-22T13:54:00,False,regular,hinglish,4.7
txn_a4f66205e2,user_af04b919,31433.52,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-26T21:00:00,False,regular,hinglish,12.5
txn_255d07f3f7,user_0e019bb7,1610.1,card,card_expired,payment_failure,0,2026-08-26T22:15:00,False,regular,hinglish,
txn_079e56ecec,user_1ad86794,494656.97,netbanking,invoice_unpaid,receivable_overdue,1,2026-08-23T16:05:00,False,high_value,en,14.1
txn_0562737709,user_138c05c3,1071.33,card,bank_decline,payment_failure,0,2026-08-31T07:40:00,False,regular,en,
txn_1130bf0b1d,user_5c5b60b8,1790.25,upi,insufficient_funds,payment_failure,1,2026-09-05T08:13:00,False,regular,hinglish,
txn_c86a56ef18,user_4dde4ad1,2346.86,upi,insufficient_funds,payment_failure,0,2026-08-27T07:04:00,False,regular,hinglish,
txn_1f023ae6e9,user_5c5b60b8,15640.96,netbanking,invoice_unpaid,receivable_overdue,1,2026-08-26T12:39:00,False,regular,en,69.5
txn_20b5dc9b31,user_182406ba,23927.78,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-26T18:17:00,False,regular,hinglish,17.0
txn_8f071c569e,user_1ccec592,2323.47,mandate,insufficient_funds,payment_failure,0,2026-09-03T01:50:00,False,regular,hinglish,
txn_b65b3638f1,user_c56c21f2,104496.82,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-26T01:59:00,False,regular,en,2.0
txn_612b4033fb,user_e45a1ea9,2630.61,mandate,mandate_lapsed,subscription_failure,0,2026-09-01T11:53:00,False,regular,hinglish,
txn_3ad65a2782,user_07938e9d,2907.01,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-27T12:27:00,False,regular,hinglish,32.5
txn_fcc3e8898f,user_43175f4c,1491.3,card,card_expired,payment_failure,0,2026-09-01T22:21:00,False,regular,hinglish,
txn_bb5b18831d,user_8ceb5dfb,1337.87,card,card_expired,payment_failure,0,2026-08-30T11:50:00,False,regular,en,
txn_de1871c3c2,user_709411c1,2835.8,card,card_expired,payment_failure,0,2026-09-05T08:55:00,False,regular,hinglish,
txn_cc583c6b58,user_ee69cf1a,289.56,upi,gateway_timeout,checkout_abandon,0,2026-08-22T20:30:00,False,regular,en,
txn_bc2825641d,user_00304bdd,593.65,upi,otp_timeout,checkout_abandon,0,2026-09-03T18:40:00,False,regular,en,
txn_fd8c825aae,user_f08a6b15,1571.01,card,user_dropped,checkout_abandon,0,2026-08-27T05:23:00,False,regular,hinglish,
txn_8fa0eb3156,user_5a6e5746,470.84,upi,issuer_timeout,payment_failure,0,2026-08-25T15:12:00,False,regular,hinglish,
txn_24b1454fb9,user_fd3775d1,285.26,mandate,mandate_lapsed,subscription_failure,0,2026-08-24T13:59:00,False,regular,hinglish,
txn_ce783f2599,user_c0d0fcd5,19610.0,upi,invoice_unpaid,receivable_overdue,0,2026-09-01T02:12:00,False,regular,hinglish,36.9
txn_df61875f81,user_03f06f6f,1845.3,card,card_expired,payment_failure,0,2026-08-29T14:28:00,False,regular,hinglish,
txn_7462c97ebd,user_c38a5e35,1540.79,mandate,bank_decline,payment_failure,0,2026-09-01T17:22:00,False,regular,en,
txn_f288ec86e9,user_971a1945,1307.43,netbanking,insufficient_funds,payment_failure,0,2026-08-27T04:34:00,False,regular,en,
txn_b37e1ac6a1,user_42f6b4f6,5871.99,card,insufficient_funds,payment_failure,0,2026-08-31T06:05:00,False,high_value,en,
txn_64adc5fd8d,user_964f6750,1109.03,upi,otp_timeout,checkout_abandon,0,2026-08-26T22:37:00,False,regular,hinglish,
txn_99a404d0b3,user_786e7185,876.69,card,insufficient_funds,payment_failure,0,2026-09-04T10:40:00,False,regular,en,
txn_1486690fcf,user_b63420e6,36920.43,netbanking,invoice_unpaid,receivable_overdue,0,2026-09-01T11:23:00,False,regular,hinglish,45.1
txn_53fd587614,user_531ae55b,774.25,netbanking,insufficient_funds,payment_failure,0,2026-09-01T12:29:00,False,regular,hinglish,
txn_86ebff14b5,user_b895504a,13382.71,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-27T19:43:00,False,regular,hinglish,14.1
txn_5d955c7c23,user_29fea609,694.18,upi,user_dropped,checkout_abandon,1,2026-08-31T21:11:00,False,regular,en,
txn_b72903e2db,user_669c998a,2442.25,card,issuer_timeout,payment_failure,0,2026-09-01T03:29:00,False,regular,hinglish,
txn_78521e0668,user_179d1bc8,996.03,upi,insufficient_funds,payment_failure,0,2026-08-30T05:20:00,False,regular,en,
txn_894b1bfc44,user_810ef6aa,8024.51,upi,insufficient_funds,payment_failure,0,2026-08-24T06:22:00,False,high_value,hinglish,
txn_20b3ebdfbe,user_f0a21187,3936.12,card,insufficient_funds,payment_failure,1,2026-08-24T13:47:00,False,regular,hinglish,
txn_64c0b489ae,user_b63420e6,655.42,upi,user_dropped,checkout_abandon,0,2026-08-31T07:09:00,False,regular,en,
txn_ba96c6f0c1,user_f706a691,6070.77,card,card_expired,payment_failure,0,2026-08-24T18:57:00,False,high_value,en,
txn_120c4385fb,user_14a0abb7,734.68,card,issuer_timeout,payment_failure,0,2026-08-27T10:47:00,False,regular,en,
txn_c63a853f83,user_d30ff293,16047.95,netbanking,invoice_unpaid,receivable_overdue,0,2026-09-04T09:22:00,False,regular,en,29.7
txn_6dc6c86269,user_d30ff293,1378.77,mandate,insufficient_funds,payment_failure,0,2026-09-04T01:15:00,False,regular,hinglish,
txn_9180dc36eb,user_cae69196,735.16,mandate,otp_timeout,checkout_abandon,0,2026-08-31T09:14:00,False,regular,en,
txn_3a85618e9d,user_f9ec136c,38775.56,upi,invoice_unpaid,receivable_overdue,0,2026-08-30T23:33:00,False,regular,hinglish,43.7
txn_0475c6031b,user_7909f7f4,1089.94,mandate,mandate_lapsed,subscription_failure,0,2026-09-03T02:18:00,False,regular,hinglish,
txn_0167e842ee,user_121b7017,2272.12,card,otp_timeout,checkout_abandon,0,2026-08-26T02:20:00,False,regular,hinglish,
txn_9b29ef52bd,user_bb50ec48,666.06,upi,issuer_timeout,payment_failure,0,2026-08-31T03:21:00,True,regular,en,
txn_59b50d49b8,user_178c9c2c,2047.03,card,issuer_timeout,payment_failure,1,2026-09-01T19:32:00,False,regular,en,
txn_51bc3a1ce7,user_b9f29d1f,1450.74,netbanking,bank_decline,payment_failure,2,2026-09-01T10:15:00,False,regular,hinglish,
txn_827f242280,user_6c0549ae,14018.35,upi,issuer_timeout,payment_failure,1,2026-09-05T03:54:00,False,high_value,hinglish,
txn_2d16493d96,user_7d4103ea,582.74,mandate,user_dropped,checkout_abandon,1,2026-09-02T05:31:00,False,regular,hinglish,
txn_bc64a3c2e1,user_f58b9ee8,688.42,mandate,issuer_timeout,payment_failure,0,2026-08-27T16:45:00,False,regular,hinglish,
txn_871e96ec0e,user_8e803ffb,2356.18,upi,insufficient_funds,payment_failure,1,2026-08-29T08:16:00,False,regular,hinglish,
txn_07c76f8816,user_6692c617,376.48,upi,issuer_timeout,payment_failure,0,2026-08-30T11:31:00,False,regular,hinglish,
txn_a543936197,user_d30ff293,16429.5,mandate,issuer_timeout,payment_failure,1,2026-09-05T02:25:00,False,high_value,en,
txn_1efed30ec5,user_ec91608b,789.77,card,gateway_timeout,checkout_abandon,1,2026-09-03T05:41:00,False,regular,hinglish,
txn_10bf086553,user_bcad953a,1875.41,card,card_expired,payment_failure,0,2026-08-28T21:31:00,True,regular,en,
txn_914513a3f8,user_13a3bf65,52198.05,netbanking,invoice_unpaid,receivable_overdue,0,2026-09-01T17:52:00,False,regular,en,7.9
txn_84bd3dface,user_eb592db4,15035.96,mandate,mandate_lapsed,subscription_failure,0,2026-08-28T03:57:00,False,high_value,hinglish,
txn_8d81e5d0f1,user_a1ae9802,2695.31,card,otp_timeout,checkout_abandon,0,2026-08-23T05:37:00,False,regular,en,
txn_24c85ec7e1,user_387cf7e6,1185.34,card,otp_timeout,checkout_abandon,0,2026-08-29T21:29:00,False,regular,hinglish,
txn_b03e988df9,user_c38a5e35,741.52,mandate,mandate_lapsed,subscription_failure,0,2026-08-25T05:21:00,False,regular,hinglish,
txn_882e23bb65,user_387cf7e6,403.49,netbanking,issuer_timeout,payment_failure,0,2026-08-28T04:15:00,False,regular,en,
txn_9444ac94c6,user_fd3775d1,1000.57,upi,otp_timeout,checkout_abandon,0,2026-08-28T05:37:00,False,regular,hinglish,
txn_8acd60b8c8,user_b08b4545,11499.54,upi,invoice_unpaid,receivable_overdue,0,2026-08-23T17:35:00,False,regular,en,3.8
txn_fa38d4f41d,user_f0a21187,1424.09,mandate,insufficient_funds,payment_failure,0,2026-09-02T13:59:00,False,regular,en,
txn_e73c83a8b9,user_4dde4ad1,2848.61,upi,bank_decline,payment_failure,0,2026-08-30T11:31:00,False,regular,hinglish,
txn_4dd6154ec3,user_e45a1ea9,57100.63,upi,bank_decline,payment_failure,0,2026-08-28T13:49:00,False,high_value,hinglish,
txn_91a6faced7,user_9eb27aff,450.0,mandate,bank_decline,payment_failure,2,2026-08-31T09:49:00,False,regular,hinglish,
txn_1354171409,user_eb592db4,14771.55,netbanking,invoice_unpaid,receivable_overdue,0,2026-08-27T05:46:00,False,regular,hinglish,10.8
txn_b366d3fcf1,user_7c864886,1316.16,upi,insufficient_funds,payment_failure,0,2026-08-23T07:33:00,False,regular,hinglish,
txn_4592f2667d,user_1efba5fc,1104.0,card,card_expired,payment_failure,0,2026-08-29T18:50:00,False,regular,hinglish,
txn_8f65b0e1d5,user_64145665,391.5,card,insufficient_funds,payment_failure,1,2026-09-03T01:41:00,True,regular,hinglish,
txn_936e1ae0f9,user_182406ba,1436.47,card,bank_decline,payment_failure,0,2026-08-27T18:10:00,False,regular,hinglish,
txn_31c9de1173,user_1efba5fc,5068.53,netbanking,gateway_timeout,checkout_abandon,0,2026-08-28T17:14:00,False,high_value,hinglish,
txn_4661a93fa9,user_fdf6b825,62730.61,upi,invoice_unpaid,receivable_overdue,2,2026-08-28T03:08:00,False,high_value,en,3.0
txn_18fd1d3537,user_f08a6b15,2401.4,upi,user_dropped,checkout_abandon,0,2026-08-27T16:42:00,False,regular,hinglish,
txn_2be0475e22,user_47995855,8665.99,card,issuer_timeout,payment_failure,0,2026-08-30T11:10:00,False,high_value,en,
txn_6623fa376e,user_3b8058aa,20608.16,upi,insufficient_funds,payment_failure,0,2026-08-24T06:59:00,False,high_value,hinglish,
txn_6a621d3146,user_06449263,1455.64,card,card_expired,payment_failure,0,2026-09-02T04:54:00,False,regular,hinglish,
txn_917e8c0494,user_adf6661c,930.42,card,issuer_timeout,payment_failure,0,2026-09-03T13:55:00,False,regular,en,
